,Unnamed: 0,Latinsk_navn,Norsk_navn,Total,Input,Unnamed: 4,taxonID,scientificNameID,scientificName,scientificNameAuthorship,taxonRank,acceptedNameUsageID,acceptedNameUsage,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,higherClassification,vernacularName (nb),vernacularName (nn),dynamicProperty,gbif_taxon_id
1071,1071,Sphagnum papillosum,vortetorvmose,5,Sphagnum papillosum,,64971,105011,Sphagnum papillosum,Lindb.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Sphagnum,vortetorvmose,vortetorvmose,,2668996.0
1072,1072,Sphagnum platyphyllum,skeitorvmose,1,Sphagnum platyphyllum,,64972,105012,Sphagnum platyphyllum,(Lindb. ex Braithw.) Warnst.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Subsecunda,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Subsecunda,skeitorvmose,skeitorvmose,,2669200.0
1073,1073,Sphagnum pulchrum,fagertorvmose,1,Sphagnum pulchrum,,64973,105013,Sphagnum pulchrum,(Lindb. ex Braithw.) Warnst.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Cuspidata,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Cuspidata,fagertorvmose,fagertorvmose,,2669170.0
1074,1074,Sphagnum quinquefarium,lyngtorvmose,4,Sphagnum quinquefarium,,64974,105014,Sphagnum quinquefarium,(Braithw.) Warnst.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Acutifolia,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Acutifolia Acutifolia,lyngtorvmose,lyngtorvmose,,2669139.0
1075,1075,Sphagnum riparium,skartorvmose,1,Sphagnum riparium,,64975,105015,Sphagnum riparium,Ångstr.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Cuspidata,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Cuspidata,skartorvmose,skartorvmose,,2669069.0
1076,1076,Sphagnum rubellum,rødtorvmose,4,Sphagnum rubellum,,64976,105016,Sphagnum rubellum,Wilson,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Acutifolia,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Acutifolia Acutifolia,rødtorvmose,raudtorvmose,,2668995.0
1077,1077,Sphagnum russowii,tvaretorvmose,7,Sphagnum russowii,,64978,105018,Sphagnum russowii,Warnst.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Acutifolia,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Acutifolia Acutifolia,tvaretorvmose,tvaretorvmose,,2668970.0
1078,1078,Sphagnum squarrosum,spriketorvmose,4,Sphagnum squarrosum,,64979,105019,Sphagnum squarrosum,Crome,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Acutifolia,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Acutifolia Acutifolia,spriketorvmose,sprikjetorvmose,,2669113.0
1079,1079,Sphagnum strictum,heitorvmose,2,Sphagnum strictum,,64980,105020,Sphagnum strictum,Sull.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Rigida,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Rigida,heitorvmose,heitorvmose,,2669156.0
1080,1080,Sphagnum subfulvum,lapptorvmose,1,Sphagnum subfulvum,,64981,105021,Sphagnum subfulvum,Sjörs,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Acutifolia,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Acutifolia Acutifolia,lapptorvmose,lapptorvmose,,2669081.0
1081,1081,Sphagnum subsecundum,kroktorvmose,3,Sphagnum subsecundum,,64987,105027,Sphagnum subsecundum,Nees,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Subsecunda,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Subsecunda,kroktorvmose,kroktorvmose,,2668981.0
1082,1082,Sphagnum tenellum,dvergtorvmose,5,Sphagnum tenellum,,64988,105028,Sphagnum tenellum,(Brid.) Pers. ex Brid.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Cuspidata,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Cuspidata,dvergtorvmose,dvergtorvmose,,2669251.0
1083,1083,Sphagnum teres,beitetorvmose,5,Sphagnum teres,,64989,105029,Sphagnum teres,(Schimp.) Ångstr.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Acutifolia,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Acutifolia Acutifolia,beitetorvmose,beitetorvmose,,2669224.0
1084,1084,Sphagnum warnstorfii,rosetorvmose,10,Sphagnum warnstorfii,,64992,105032,Sphagnum warnstorfii,Russow,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Acutifolia,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Acutifolia Acutifolia,rosetorvmose,rosetorvmose,,4280791.0
1085,1085,Sporastatia testudinea,,2,Sporastatia testudinea,,44894,68921,Sporastatia testudinea,(Ach.) Massal.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Catillariaceae,Sporastatia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Catillariaceae Sporastatia,,,,2607508.0
1086,1086,Squamarina cartilaginea,bruskkalkskjell,1,Squamarina cartilaginea,,51075,75102,Squamarina cartilaginea,(With.) P. James,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Squamarina,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Ramalinaceae Squamarina,bruskkalkskjell,,,2608508.0
1087,1087,Stachys palustris,åkersvinerot,5,Stachys palustris,,144490,102378,Stachys palustris,L.,species,,,Plantae,Magnoliophyta,Eudicots,Lamiales,Lamiaceae,Stachys,,,,Plantae Magnoliophyta Eudicots Lamiales Lamiaceae Stachys,åkersvinerot,åkersvinerot,,2927245.0
1088,1088,Stachys sylvatica,skogsvinerot,3,Stachys sylvatica,,138037,102380,Stachys sylvatica,L.,species,,,Plantae,Magnoliophyta,Eudicots,Lamiales,Lamiaceae,Stachys,,,,Plantae Magnoliophyta Eudicots Lamiales Lamiaceae Stachys,skogsvinerot,skogsvinerot,,2927282.0
1089,1089,Stellaria borealis,fjellstjerneblom,10,Stellaria borealis,,144208,101589,Stellaria borealis,Bigelow,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Stellaria,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Stellaria,fjellstjerneblom,fjellstjerneblom,,5384671.0
1090,1090,Stellaria crassifolia,saftstjerneblom,2,Stellaria crassifolia,,61550,101590,Stellaria crassifolia,Ehrh.,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Stellaria,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Stellaria,saftstjerneblom,saftstjerneblom,,5384660.0
1091,1091,Stellaria graminea,grasstjerneblom,8,Stellaria graminea,,61554,101594,Stellaria graminea,L.,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Stellaria,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Stellaria,grasstjerneblom,grasstjerneblom,,5384616.0
1092,1092,Stellaria humifusa,ishavsstjerneblom,2,Stellaria humifusa,,61557,101597,Stellaria humifusa,Rottb.,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Stellaria,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Stellaria,ishavsstjerneblom,ishavsstjerneblom,,5384598.0
1093,1093,Stellaria longipes,snøstjerneblom,4,Stellaria longipes,,146098,101599,Stellaria longipes,Goldie,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Stellaria,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Stellaria,snøstjerneblom,snøstjerneblom,,5384620.0
1094,1094,Stellaria media,vassarve,10,Stellaria media,,138066,101601,Stellaria media,(L.) Vill.,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Stellaria,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Stellaria,vassarve,vassarve,,5384604.0
1095,1095,Stellaria nemorum,skogstjerneblom,5,Stellaria nemorum,,61562,101602,Stellaria nemorum,L.,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Stellaria,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Stellaria,skogstjerneblom,skogstjerneblom,,6363434.0
