"filename", "language", "Python", "pip requirements", "CSV", "Graphviz", "Shell Script", "Gradle", "Properties", "Dart", "XML", "Kotlin", "YAML", "JSON", "SQL", "Markdown", "Log", "Jupyter", "PDF", "plist", "Swift", "HTML", "C++", "JavaScript", "comment", "blank", "total"
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/minor_type_table/standard_segment_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/minor_type_table/table_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 54
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/minor_type_table/table_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type_group/major_type_group_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 71
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type_group/major_type_group_description.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type_group/major_type_group_selector.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/nin_structure_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 140
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/nin_structure_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 80
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/serializers/observations/arts_observation.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 43
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/serializers/observations/arts_observation.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30, 244
